"key","en","es","ca","eu","gl","pt","fr","it","de","tr","pl","ar"
"search_field_label","Search  (e.g. football, laliga, sports)","Buscar  (p. ej. fútbol, laliga, deporte)","Cerca  (p. ex. futbol, laliga, esport)","Bilatu  (adib. futbola, laliga, kirola)","Buscar  (p. ex. fútbol, laliga, deporte)","Procurar  (p. ex. futebol, laliga, desporto)","Rechercher  (p. ex. football, laliga, sport)","Cerca  (es. calcio, laliga, sport)","Suchen  (z. B. Fußball, Basketball, Tennis)","Ara  (örn. futbol, basketbol, tenis)","Szukaj  (np. piłka nożna, koszykówka, tenis)","بحث  (مثل: كرة القدم، كرة السلة، التنس)"
"no_sports_channels","No sports channels found in this profile.","No se encontraron canales de deporte en este perfil.","No s'ha trobat cap canal d'esport en aquest perfil.","Ez da kirol-kanalik aurkitu profil honetan.","Non se atoparon canles de deporte neste perfil.","Não foram encontrados canais de desporto neste perfil.","Aucune chaîne de sport trouvée dans ce profil.","Nessun canale sportivo trovato in questo profilo.","In diesem Profil wurden keine Sportsender gefunden.","Bu profilde spor kanalı bulunamadı.","W tym profilu nie znaleziono kanałów sportowych.","لم يُعثر على قنوات رياضية في هذا الملف الشخصي."
"no_results","No results for ""%1$s"".","Sin resultados para ""%1$s"".","Cap resultat per a ""%1$s"".","Emaitzarik ez: ""%1$s"".","Sen resultados para ""%1$s"".","Sem resultados para ""%1$s"".","Aucun résultat pour ""%1$s"".","Nessun risultato per ""%1$s"".","Keine Ergebnisse für ""%1$s"".","""%1$s"" için sonuç yok.","Brak wyników dla ""%1$s"".","لا نتائج لـ ""%1$s""."
"section_favorite_channels","Favorite channels","Canales favoritos","Canals preferits","Gogoko kanalak","Canles favoritas","Canais favoritos","Chaînes favorites","Canali preferiti","Lieblingssender","Favori kanallar","Ulubione kanały","القنوات المفضلة"
"section_recent","Recent","Recientes","Recents","Azkenak","Recentes","Recentes","Récentes","Recenti","Zuletzt gesehen","Son izlenenler","Ostatnio oglądane","الأخيرة"
"section_favorite_folders","Favorite folders","Carpetas favoritas","Carpetes preferides","Gogoko karpetak","Cartafoles favoritos","Pastas favoritas","Dossiers favoris","Cartelle preferite","Lieblingsordner","Favori klasörler","Ulubione foldery","المجلدات المفضلة"
"section_football","Football","Fútbol","Futbol","Futbola","Fútbol","Futebol","Football","Calcio","Fußball","Futbol","Piłka nożna","كرة القدم"
"section_more_sports","More sports","Más deporte","Més esport","Kirol gehiago","Máis deporte","Mais desporto","Plus de sport","Altro sport","Weitere Sportarten","Diğer sporlar","Inne sporty","رياضات أخرى"
"loading_channels","Loading channels…","Cargando canales…","S'estan carregant els canals…","Kanalak kargatzen…","Cargando canles…","A carregar canais…","Chargement des chaînes…","Caricamento canali…","Sender werden geladen…","Kanallar yükleniyor…","Wczytywanie kanałów…","جارٍ تحميل القنوات…"
"folder_back_hint","Back to return","Atrás para volver","Enrere per tornar","Atzera itzultzeko","Atrás para volver","Voltar para regressar","Retour pour revenir","Indietro per tornare","Zurück zum Verlassen","Geri dönmek için Geri","Wstecz, aby wrócić","رجوع للعودة"
"quality_auto","Auto","Auto","Auto","Auto","Auto","Auto","Auto","Auto","Auto","Otomatik","Auto","تلقائي"
"player_error_with_hint","%1$s  ·  ◀▶ to change channel","%1$s  ·  ◀▶ para cambiar de canal","%1$s  ·  ◀▶ per canviar de canal","%1$s  ·  ◀▶ kanalez aldatzeko","%1$s  ·  ◀▶ para cambiar de canle","%1$s  ·  ◀▶ para mudar de canal","%1$s  ·  ◀▶ pour changer de chaîne","%1$s  ·  ◀▶ per cambiare canale","%1$s  ·  ◀▶ Sender wechseln","%1$s  ·  ◀▶ kanal değiştir","%1$s  ·  ◀▶ zmień kanał","%1$s  ·  ◀▶ لتغيير القناة"
"menu_nav_hint","▲▼ choose · ◀▶ section · OK confirm","▲▼ elegir · ◀▶ sección · OK confirmar","▲▼ triar · ◀▶ secció · OK confirmar","▲▼ aukeratu · ◀▶ atala · OK berretsi","▲▼ elixir · ◀▶ sección · OK confirmar","▲▼ escolher · ◀▶ secção · OK confirmar","▲▼ choisir · ◀▶ section · OK confirmer","▲▼ scegli · ◀▶ sezione · OK conferma","▲▼ wählen · ◀▶ Bereich · OK bestätigen","▲▼ seç · ◀▶ bölüm · OK onayla","▲▼ wybierz · ◀▶ sekcja · OK zatwierdź","▲▼ اختيار · ◀▶ القسم · OK تأكيد"
"controls_legend","OK: menu  ·  ▲▼: quality  ·  ◀▶: channel (×2 folder)","OK: menú  ·  ▲▼: calidad  ·  ◀▶: canal (×2 carpeta)","OK: menú  ·  ▲▼: qualitat  ·  ◀▶: canal (×2 carpeta)","OK: menua  ·  ▲▼: kalitatea  ·  ◀▶: kanala (×2 karpeta)","OK: menú  ·  ▲▼: calidade  ·  ◀▶: canle (×2 cartafol)","OK: menu  ·  ▲▼: qualidade  ·  ◀▶: canal (×2 pasta)","OK : menu  ·  ▲▼ : qualité  ·  ◀▶ : chaîne (×2 dossier)","OK: menu  ·  ▲▼: qualità  ·  ◀▶: canale (×2 cartella)","OK: Menü  ·  OK halten: ★  ·  ▲▼: Qualität  ·  ◀▶: Sender (×2 Ordner)","OK: menü  ·  OK basılı tut: ★  ·  ▲▼: kalite  ·  ◀▶: kanal (×2 klasör)","OK: menu  ·  przytrzymaj OK: ★  ·  ▲▼: jakość  ·  ◀▶: kanał (×2 folder)","OK: القائمة  ·  إطالة الضغط على OK: ★  ·  ▲▼: الجودة  ·  ◀▶: القناة (×2 المجلد)"
"controls_legend_touch","Tap: menu  ·  swipe ▲▼: quality  ·  swipe ◀▶: channel","Toca: menú  ·  desliza ▲▼: calidad  ·  desliza ◀▶: canal","Toca: menú  ·  llisca ▲▼: qualitat  ·  llisca ◀▶: canal","Ukitu: menua  ·  lerratu ▲▼: kalitatea  ·  lerratu ◀▶: kanala","Toca: menú  ·  desliza ▲▼: calidade  ·  desliza ◀▶: canle","Toca: menu  ·  desliza ▲▼: qualidade  ·  desliza ◀▶: canal","Toucher : menu  ·  glisser ▲▼ : qualité  ·  glisser ◀▶ : chaîne","Tocca: menu  ·  scorri ▲▼: qualità  ·  scorri ◀▶: canale","Tippen: Menü  ·  Wischen ▲▼: Qualität  ·  Wischen ◀▶: Sender","Dokun: menü  ·  kaydır ▲▼: kalite  ·  kaydır ◀▶: kanal","Dotknij: menu  ·  przesuń ▲▼: jakość  ·  przesuń ◀▶: kanał","نقرة: القائمة  ·  تمرير ▲▼: الجودة  ·  تمرير ◀▶: القناة"
"menu_nav_hint_touch","tap: choose  ·  swipe ◀▶: section","toca: elegir  ·  desliza ◀▶: sección","toca: triar  ·  llisca ◀▶: secció","ukitu: aukeratu  ·  lerratu ◀▶: atala","toca: escoller  ·  desliza ◀▶: sección","toca: escolher  ·  desliza ◀▶: secção","toucher : choisir  ·  glisser ◀▶ : section","tocca: scegli  ·  scorri ◀▶: sezione","Tippen: wählen  ·  Wischen ◀▶: Bereich","dokun: seç  ·  kaydır ◀▶: bölüm","dotknij: wybierz  ·  przesuń ◀▶: sekcja","نقرة: اختيار  ·  تمرير ◀▶: القسم"
"epg_now","Now: %1$s","Ahora: %1$s","Ara: %1$s","Orain: %1$s","Agora: %1$s","Agora: %1$s","Maintenant : %1$s","Ora: %1$s","Jetzt: %1$s","Şimdi: %1$s","Teraz: %1$s","الآن: %1$s"
"epg_next_suffix","   ·   Next: %1$s","   ·   Luego: %1$s","   ·   Després: %1$s","   ·   Gero: %1$s","   ·   Despois: %1$s","   ·   A seguir: %1$s","   ·   Ensuite : %1$s","   ·   Poi: %1$s","   ·   Danach: %1$s","   ·   Sonraki: %1$s","   ·   Następnie: %1$s","   ·   التالي: %1$s"
"menu_section_quality","Quality","Calidad","Qualitat","Kalitatea","Calidade","Qualidade","Qualité","Qualità","Qualität","Kalite","Jakość","الجودة"
"menu_section_audio","Audio","Audio","Àudio","Audioa","Audio","Áudio","Audio","Audio","Audio","Ses","Dźwięk","الصوت"
"menu_section_subtitles","Subtitles","Subtítulos","Subtítols","Azpidatziak","Subtítulos","Legendas","Sous-titres","Sottotitoli","Untertitel","Altyazılar","Napisy","الترجمة"
"menu_section_guide","Guide","Guía","Guia","Gida","Guía","Guia","Guide","Guida","Programm","Rehber","Program","الدليل"
"player_only_one_quality","Only one quality available","Única calidad disponible","Només hi ha una qualitat disponible","Kalitate bakarra eskuragarri","Só hai unha calidade dispoñible","Só há uma qualidade disponível","Une seule qualité disponible","Una sola qualità disponibile","Nur eine Qualität verfügbar","Yalnızca bir kalite mevcut","Dostępna tylko jedna jakość","جودة واحدة فقط متاحة"
"audio_none","No audio tracks","Sin pistas de audio","Sense pistes d'àudio","Audio-pistarik ez","Sen pistas de audio","Sem faixas de áudio","Aucune piste audio","Nessuna traccia audio","Keine Tonspuren","Ses parçası yok","Brak ścieżek dźwiękowych","لا مسارات صوتية"
"audio_track_n","Audio %1$d","Audio %1$d","Àudio %1$d","Audioa %1$d","Audio %1$d","Áudio %1$d","Audio %1$d","Audio %1$d","Audio %1$d","Ses %1$d","Dźwięk %1$d","الصوت %1$d"
"subtitles_off","Off","Desactivados","Desactivats","Desaktibatuta","Desactivados","Desativadas","Désactivés","Disattivati","Aus","Kapalı","Wył.","إيقاف"
"subtitle_track_n","Subtitle %1$d","Subtítulo %1$d","Subtítol %1$d","Azpidatzia %1$d","Subtítulo %1$d","Legenda %1$d","Sous-titre %1$d","Sottotitolo %1$d","Untertitel %1$d","Altyazı %1$d","Napisy %1$d","الترجمة %1$d"
"guide_none","No guide available","Sin guía disponible","No hi ha guia disponible","Ez dago gidarik eskuragarri","Non hai guía dispoñible","Sem guia disponível","Aucun guide disponible","Nessuna guida disponibile","Kein Programm verfügbar","Rehber mevcut değil","Program niedostępny","لا يتوفر دليل"
"player_blocked_skipping","Blocked in your region (%1$d) · skipping…","Bloqueado en tu región (%1$d) · saltando…","Bloquejat a la teva regió (%1$d) · saltant…","Zure eskualdean blokeatuta (%1$d) · saltatzen…","Bloqueado na túa rexión (%1$d) · saltando…","Bloqueado na tua região (%1$d) · a saltar…","Bloqué dans ta région (%1$d) · passage…","Bloccato nella tua regione (%1$d) · salto…","In deiner Region gesperrt (%1$d) · wird übersprungen…","Bölgenizde engelli (%1$d) · atlanıyor…","Zablokowany w Twoim regionie (%1$d) · pomijanie…","محظورة في منطقتك (%1$d) · جارٍ التخطي…"
"player_skipping_unavailable","Skipping unavailable channel…","Saltando canal no disponible…","Saltant canal no disponible…","Kanal ez-eskuragarria saltatzen…","Saltando canle non dispoñible…","A saltar canal indisponível…","Chaîne indisponible, on passe…","Salto canale non disponibile…","Nicht verfügbarer Sender wird übersprungen…","Kullanılamayan kanal atlanıyor…","Pomijanie niedostępnego kanału…","جارٍ تخطي قناة غير متاحة…"
"player_blocked_no_access","Blocked in your region or no access (%1$d)%2$s","Bloqueado en tu región o sin acceso (%1$d)%2$s","Bloquejat a la teva regió o sense accés (%1$d)%2$s","Zure eskualdean blokeatuta edo sarbiderik gabe (%1$d)%2$s","Bloqueado na túa rexión ou sen acceso (%1$d)%2$s","Bloqueado na tua região ou sem acesso (%1$d)%2$s","Bloqué dans ta région ou sans accès (%1$d)%2$s","Bloccato nella tua regione o senza accesso (%1$d)%2$s","In deiner Region gesperrt oder kein Zugriff (%1$d)%2$s","Bölgenizde engelli veya erişim yok (%1$d)%2$s","Zablokowany w Twoim regionie lub brak dostępu (%1$d)%2$s","محظورة في منطقتك أو لا يمكن الوصول إليها (%1$d)%2$s"
"player_channel_from"," · channel from %1$s"," · canal de %1$s"," · canal de %1$s"," · kanala: %1$s"," · canle de %1$s"," · canal de %1$s"," · chaîne de %1$s"," · canale di %1$s"," · Sender aus %1$s"," · %1$s kanalı"," · kanał z: %1$s"," · قناة من %1$s"
"player_no_channel","No channel available","Ningún canal disponible","Cap canal disponible","Ez dago kanalik eskuragarri","Ningunha canle dispoñible","Nenhum canal disponível","Aucune chaîne disponible","Nessun canale disponibile","Kein Sender verfügbar","Kullanılabilir kanal yok","Brak dostępnego kanału","لا توجد قناة متاحة"
"add_edit_profile","Edit profile","Editar perfil","Edita el perfil","Editatu profila","Editar perfil","Editar perfil","Modifier le profil","Modifica profilo","Profil bearbeiten","Profili düzenle","Edytuj profil","تعديل الملف الشخصي"
"add_connect_list","Connect your list","Conecta tu lista","Connecta la teva llista","Konektatu zure zerrenda","Conecta a túa lista","Liga a tua lista","Connecte ta liste","Collega la tua lista","Liste verbinden","Listeni bağla","Połącz swoją listę","اربط قائمتك"
"profile_type_xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream","Xtream"
"profile_type_m3u","M3U list","Lista M3U","Llista M3U","M3U zerrenda","Lista M3U","Lista M3U","Liste M3U","Lista M3U","M3U-Liste","M3U listesi","Lista M3U","قائمة M3U"
"profile_type_direct","Direct link","Enlace directo","Enllaç directe","Esteka zuzena","Ligazón directa","Ligação direta","Lien direct","Link diretto","Direktlink","Doğrudan bağlantı","Link bezpośredni","رابط مباشر"
"add_desc_direct","Paste a stream URL (HLS .m3u8 or DASH .mpd). It plays as-is, with no sports filtering.","Pega una URL de stream (HLS .m3u8 o DASH .mpd). Se reproduce tal cual, sin filtrar por deporte.","Enganxa una URL d'stream (HLS .m3u8 o DASH .mpd). Es reprodueix tal qual, sense filtrar per esport.","Itsatsi stream-URL bat (HLS .m3u8 edo DASH .mpd). Dagoen bezala erreproduzitzen da, kirolaren arabera iragazi gabe.","Pega unha URL de stream (HLS .m3u8 ou DASH .mpd). Reprodúcese tal cal, sen filtrar por deporte.","Cola um URL de stream (HLS .m3u8 ou DASH .mpd). Reproduz tal como está, sem filtrar por desporto.","Colle une URL de flux (HLS .m3u8 ou DASH .mpd). Lue telle quelle, sans filtre sport.","Incolla un URL di stream (HLS .m3u8 o DASH .mpd). Si riproduce così com'è, senza filtrare per sport.","Füge eine Stream-URL ein (HLS .m3u8 oder DASH .mpd). Sie wird unverändert abgespielt, ohne Sportfilter.","Bir yayın URL'si yapıştır (HLS .m3u8 veya DASH .mpd). Spor filtresi olmadan olduğu gibi oynatılır.","Wklej adres URL strumienia (HLS .m3u8 lub DASH .mpd). Odtwarzany jest bez zmian, bez filtra sportowego.","الصق رابط البث (HLS .m3u8 أو DASH .mpd). يُشغَّل كما هو، دون تصفية رياضية."
"add_desc_m3u","Paste your playlist URL (.m3u / m3u_plus). The most compatible option if your provider blocks the API.","Pega la URL de tu lista (.m3u / m3u_plus). Lo más compatible si tu proveedor bloquea la API.","Enganxa la URL de la teva llista (.m3u / m3u_plus). El més compatible si el teu proveïdor bloqueja l'API.","Itsatsi zure zerrendaren URLa (.m3u / m3u_plus). Bateragarriena zure hornitzaileak APIa blokeatzen badu.","Pega a URL da túa lista (.m3u / m3u_plus). O máis compatible se o teu provedor bloquea a API.","Cola o URL da tua lista (.m3u / m3u_plus). O mais compatível se o teu fornecedor bloquear a API.","Colle l'URL de ta liste (.m3u / m3u_plus). Le plus compatible si ton fournisseur bloque l'API.","Incolla l'URL della tua lista (.m3u / m3u_plus). Il più compatibile se il tuo provider blocca l'API.","Füge die URL deiner Playlist ein (.m3u / m3u_plus). Die kompatibelste Option, wenn dein Anbieter die API sperrt.","Oynatma listenin URL'sini yapıştır (.m3u / m3u_plus). Sağlayıcın API'yi engelliyorsa en uyumlu seçenek.","Wklej adres URL swojej playlisty (.m3u / m3u_plus). Najbardziej zgodna opcja, jeśli dostawca blokuje API.","الصق رابط قائمة التشغيل (.m3u / m3u_plus). الخيار الأكثر توافقًا إذا كان مزوّدك يحظر الـ API."
"add_desc_xtream","Connect with the server address, your username and your password.","Conéctate con la dirección del servidor, tu usuario y tu contraseña.","Connecta't amb l'adreça del servidor, el teu usuari i la teva contrasenya.","Konektatu zerbitzariaren helbidearekin, zure erabiltzailearekin eta pasahitzarekin.","Conéctate co enderezo do servidor, o teu usuario e o teu contrasinal.","Liga-te com o endereço do servidor, o teu utilizador e a tua palavra-passe.","Connecte-toi avec l'adresse du serveur, ton identifiant et ton mot de passe.","Collegati con l'indirizzo del server, il tuo utente e la tua password.","Verbinde dich mit der Serveradresse, deinem Benutzernamen und deinem Passwort.","Sunucu adresi, kullanıcı adın ve şifrenle bağlan.","Połącz się, podając adres serwera, nazwę użytkownika i hasło.","اتصل باستخدام عنوان الخادم واسم المستخدم وكلمة المرور."
"field_stream_url","Stream URL (HLS/DASH)","URL del stream (HLS/DASH)","URL de l'stream (HLS/DASH)","Stream-URLa (HLS/DASH)","URL do stream (HLS/DASH)","URL do stream (HLS/DASH)","URL du flux (HLS/DASH)","URL dello stream (HLS/DASH)","Stream-URL (HLS/DASH)","Yayın URL'si (HLS/DASH)","Adres URL strumienia (HLS/DASH)","رابط البث (HLS/DASH)"
"field_m3u_url","M3U playlist URL","URL de la lista M3U","URL de la llista M3U","M3U zerrendaren URLa","URL da lista M3U","URL da lista M3U","URL de la liste M3U","URL della lista M3U","URL der M3U-Playlist","M3U listesi URL'si","Adres URL playlisty M3U","رابط قائمة M3U"
"helper_direct","E.g.: https://server/stream.m3u8  ·  https://server/manifest.mpd","Ej.: https://servidor/stream.m3u8  ·  https://servidor/manifest.mpd","Ex.: https://servidor/stream.m3u8  ·  https://servidor/manifest.mpd","Adib.: https://zerbitzaria/stream.m3u8  ·  https://zerbitzaria/manifest.mpd","Ex.: https://servidor/stream.m3u8  ·  https://servidor/manifest.mpd","Ex.: https://servidor/stream.m3u8  ·  https://servidor/manifest.mpd","Ex. : https://serveur/stream.m3u8  ·  https://serveur/manifest.mpd","Es.: https://server/stream.m3u8  ·  https://server/manifest.mpd","z. B.: https://server/stream.m3u8  ·  https://server/manifest.mpd","Örn.: https://sunucu/stream.m3u8  ·  https://sunucu/manifest.mpd","Np.: https://serwer/stream.m3u8  ·  https://serwer/manifest.mpd","مثال: https://server/stream.m3u8  ·  https://server/manifest.mpd"
"helper_m3u","E.g.: http://host:port/get.php?username=…&password=…&type=m3u_plus","Ej.: http://host:puerto/get.php?username=…&password=…&type=m3u_plus","Ex.: http://host:port/get.php?username=…&password=…&type=m3u_plus","Adib.: http://host:ataka/get.php?username=…&password=…&type=m3u_plus","Ex.: http://host:porto/get.php?username=…&password=…&type=m3u_plus","Ex.: http://host:porta/get.php?username=…&password=…&type=m3u_plus","Ex. : http://host:port/get.php?username=…&password=…&type=m3u_plus","Es.: http://host:porta/get.php?username=…&password=…&type=m3u_plus","z. B.: http://host:port/get.php?username=…&amp;password=…&amp;type=m3u_plus","Örn.: http://host:port/get.php?username=…&amp;password=…&amp;type=m3u_plus","Np.: http://host:port/get.php?username=…&amp;password=…&amp;type=m3u_plus","مثال: http://host:port/get.php?username=…&amp;password=…&amp;type=m3u_plus"
"field_profile_name","Profile name (optional)","Nombre del perfil (opcional)","Nom del perfil (opcional)","Profilaren izena (aukerakoa)","Nome do perfil (opcional)","Nome do perfil (opcional)","Nom du profil (facultatif)","Nome del profilo (facoltativo)","Profilname (optional)","Profil adı (isteğe bağlı)","Nazwa profilu (opcjonalnie)","اسم الملف الشخصي (اختياري)"
"field_server_url","Server URL","URL del servidor","URL del servidor","Zerbitzariaren URLa","URL do servidor","URL do servidor","URL du serveur","URL del server","Server-URL","Sunucu URL'si","Adres URL serwera","رابط الخادم"
"field_username","Username","Usuario","Usuari","Erabiltzailea","Usuario","Utilizador","Identifiant","Utente","Benutzername","Kullanıcı adı","Nazwa użytkownika","اسم المستخدم"
"field_password","Password","Contraseña","Contrasenya","Pasahitza","Contrasinal","Palavra-passe","Mot de passe","Password","Passwort","Şifre","Hasło","كلمة المرور"
"show_password","Show password","Mostrar contraseña","Mostra la contrasenya","Erakutsi pasahitza","Mostrar contrasinal","Mostrar palavra-passe","Afficher le mot de passe","Mostra password","Passwort anzeigen","Şifreyi göster","Pokaż hasło","إظهار كلمة المرور"
"hide_password","Hide password","Ocultar contraseña","Amaga la contrasenya","Ezkutatu pasahitza","Ocultar contrasinal","Ocultar palavra-passe","Masquer le mot de passe","Nascondi password","Passwort verbergen","Şifreyi gizle","Ukryj hasło","إخفاء كلمة المرور"
"helper_server","E.g.: http://mydomain.com:8080","Ej.: http://midominio.com:8080","Ex.: http://elmeudomini.com:8080","Adib.: http://niredomeinua.com:8080","Ex.: http://omeudominio.com:8080","Ex.: http://omeudominio.com:8080","Ex. : http://mondomaine.com:8080","Es.: http://ilmiodominio.com:8080","z. B.: http://meinedomain.com:8080","Örn.: http://alanadim.com:8080","Np.: http://mojadomena.com:8080","مثال: http://mydomain.com:8080"
"btn_connecting","Connecting…","Conectando…","Connectant…","Konektatzen…","Conectando…","A ligar…","Connexion…","Connessione…","Verbinden…","Bağlanıyor…","Łączenie…","جارٍ الاتصال…"
"btn_save_changes","Save changes","Guardar cambios","Desa els canvis","Gorde aldaketak","Gardar cambios","Guardar alterações","Enregistrer les modifications","Salva modifiche","Änderungen speichern","Değişiklikleri kaydet","Zapisz zmiany","حفظ التغييرات"
"btn_save_enter","Save and enter","Guardar y entrar","Desa i entra","Gorde eta sartu","Gardar e entrar","Guardar e entrar","Enregistrer et entrer","Salva ed entra","Speichern und öffnen","Kaydet ve gir","Zapisz i wejdź","حفظ ودخول"
"error_m3u_load","Couldn't load the M3U playlist. Check the URL.","No se pudo cargar la lista M3U. Revisa la URL.","No s'ha pogut carregar la llista M3U. Comprova la URL.","Ezin izan da M3U zerrenda kargatu. Egiaztatu URLa.","Non se puido cargar a lista M3U. Revisa a URL.","Não foi possível carregar a lista M3U. Verifica o URL.","Impossible de charger la liste M3U. Vérifie l'URL.","Impossibile caricare la lista M3U. Controlla l'URL.","Die M3U-Playlist konnte nicht geladen werden. Prüfe die URL.","M3U listesi yüklenemedi. URL'yi kontrol et.","Nie udało się wczytać playlisty M3U. Sprawdź adres URL.","تعذّر تحميل قائمة M3U. تحقق من الرابط."
"error_xtream_auth","The server rejected the username or password.","El servidor ha rechazado el usuario o la contraseña.","El servidor ha rebutjat l'usuari o la contrasenya.","Zerbitzariak erabiltzailea edo pasahitza baztertu du.","O servidor rexeitou o usuario ou o contrasinal.","O servidor rejeitou o utilizador ou a palavra-passe.","Le serveur a refusé l'identifiant ou le mot de passe.","Il server ha rifiutato l'utente o la password.","Der Server hat Benutzername oder Passwort abgelehnt.","Sunucu kullanıcı adını veya şifreyi reddetti.","Serwer odrzucił nazwę użytkownika lub hasło.","رفض الخادم اسم المستخدم أو كلمة المرور."
"error_xtream_unreachable","Can't reach the server (%1$s). Check the URL or try another host from your provider.","No se llega al servidor (%1$s). Revisa la URL o prueba otro host de tu proveedor.","No s'arriba al servidor (%1$s). Comprova la URL o prova un altre host del teu proveïdor.","Ezin da zerbitzarira iritsi (%1$s). Egiaztatu URLa edo probatu hornitzailearen beste host bat.","Non se chega ao servidor (%1$s). Revisa a URL ou proba outro host do teu provedor.","Não é possível chegar ao servidor (%1$s). Verifica o URL ou tenta outro host do teu fornecedor.","Serveur injoignable (%1$s). Vérifie l'URL ou essaie un autre hôte de ton fournisseur.","Server non raggiungibile (%1$s). Controlla l'URL o prova un altro host del tuo provider.","Der Server ist nicht erreichbar (%1$s). Prüfe die URL oder versuche einen anderen Host deines Anbieters.","Sunucuya ulaşılamıyor (%1$s). URL'yi kontrol et veya sağlayıcının başka bir sunucusunu dene.","Brak połączenia z serwerem (%1$s). Sprawdź adres URL lub wypróbuj inny host od dostawcy.","تعذّر الوصول إلى الخادم (%1$s). تحقق من الرابط أو جرّب مضيفًا آخر من مزوّدك."
"error_xtream_http","The server answered HTTP %1$d. Check the URL (host and port only, without /player_api.php).","El servidor respondió HTTP %1$d. Revisa la URL (solo host y puerto, sin /player_api.php).","El servidor ha respost HTTP %1$d. Comprova la URL (només host i port, sense /player_api.php).","Zerbitzariak HTTP %1$d erantzun du. Egiaztatu URLa (host eta ataka soilik, /player_api.php gabe).","O servidor respondeu HTTP %1$d. Revisa a URL (só host e porto, sen /player_api.php).","O servidor respondeu HTTP %1$d. Verifica o URL (só host e porta, sem /player_api.php).","Le serveur a répondu HTTP %1$d. Vérifie l'URL (hôte et port seulement, sans /player_api.php).","Il server ha risposto HTTP %1$d. Controlla l'URL (solo host e porta, senza /player_api.php).","Der Server hat mit HTTP %1$d geantwortet. Prüfe die URL (nur Host und Port, ohne /player_api.php).","Sunucu HTTP %1$d yanıtı verdi. URL'yi kontrol et (yalnızca host ve port, /player_api.php olmadan).","Serwer odpowiedział HTTP %1$d. Sprawdź adres URL (tylko host i port, bez /player_api.php).","أجاب الخادم بـ HTTP %1$d. تحقق من الرابط (المضيف والمنفذ فقط، دون /player_api.php)."
